team,player,status,injury,comment,source,updated_at,player_impact_score,weighted_impact,is_projected_starter
Golden State Warriors,Quinten Post,Out,Foot Leg Not Specified,"Post (foot) averaged 7.7 points, 4.0 rebounds, 1.4 assists, 0.5 blocks and 0.4 steals in 17.3 minutes per game across 67 regular-season appearances (35 starts) in 2025-26.",ESPN,2026-04-18T16:31Z,0.7,0.7,False
Golden State Warriors,LJ Cryer,Out,Ankle Leg Sprain,Cryer (ankle) will be re-evaluated in one week after an MRI confirmed a right-ankle sprain.,ESPN,2026-04-11T01:19Z,0.7,0.7,False
Golden State Warriors,Moses Moody,Out,Knee Leg Surgery,"Moody has been diagnosed with a torn patellar tendon in his left knee, Shams Charania of ESPN reports.",ESPN,2026-03-24T20:48Z,0.7,0.7,False
Golden State Warriors,Jimmy Butler III,Out,Knee Leg Surgery,Butler underwent successful surgery Monday to repair a torn right anterior cruciate ligament.,ESPN,2026-02-10T00:49Z,0.7,0.7,False
Boston Celtics,Jayson Tatum,Out,Knee Leg Soreness,"Tatum (knee) has been ruled out for Saturday's Game 7 against the 76ers, Shams Charania of ESPN reports.",ESPN,2026-05-02T21:43Z,5.7,5.7,True
Orlando Magic,Jonathan Isaac,Out,Knee Leg Sprain,Isaac (knee) is listed as out for Sunday's Game 7 of the Eastern Conference first-round series against the Pistons.,ESPN,2026-05-03T18:02Z,0.7,0.7,False
Orlando Magic,Franz Wagner,Out,Calf Leg Strain,"Wagner (calf) has been ruled out for Game 7 of the first round of the Eastern Conference playoffs Sunday against the Pistons, Jason Beede of the Orlando Sentinel reports.",ESPN,2026-05-02T19:05Z,0.7,0.7,False
Cleveland Cavaliers,Dennis Schroder,Out,Illness Other Not Specified,"Schroder (illness) has been ruled out for Game 4 of the Eastern Conference Finals against the Knicks on Monday, independent journalist Tom Withers  reports.",ESPN,2026-05-26T13:02Z,0.7,0.7,False
Washington Wizards,Tristan Vukcevic,Out,Knee Leg Bruise,Vukcevic (knee) is out for Sunday's game in Cleveland.,ESPN,2026-04-11T22:00Z,0.7,0.7,False
Washington Wizards,Alex Sarr,Out,Toe Leg Inflammation,Sarr (toe) has been ruled out for Sunday's regular-season finale against Cleveland.,ESPN,2026-04-11T21:58Z,0.7,0.7,False
Washington Wizards,Bilal Coulibaly,Out,Heel Leg Inflammation,Coulibaly (heel) won't play Sunday against the Cavs.,ESPN,2026-04-11T21:56Z,0.7,0.7,False
Washington Wizards,Tre Johnson,Out,Foot Leg Sprain,Johnson (foot) has been ruled out for Sunday's regular-season finale against the Cavaliers.,ESPN,2026-04-11T21:53Z,0.7,0.7,False
Washington Wizards,Anthony Davis,Out,Finger Arm Sprain,"Head coach Brian Keefe said Tuesday that Davis (finger) is not expected to play again this season, Chase Hughes of Monumental Sports Network reports.",ESPN,2026-04-07T21:33Z,5.4,5.4,True
Washington Wizards,Trae Young,Out,Quadriceps Leg Bruise,"Young (quadriceps, back) isn't expected to play again in 2025-26, per Chase Hughes of Monumental Sports Network.",ESPN,2026-04-07T21:31Z,0.7,0.7,False
Washington Wizards,Kyshawn George,Out,Elbow Arm Sprain,"George (elbow) will miss the rest of the 2025-26 season, Chase Hughes of Monumental Sports Network reports.",ESPN,2026-04-02T16:49Z,0.7,0.7,False
Washington Wizards,D'Angelo Russell,Out,Not Injury Related  Not Specified,Russell (not injury related) has been ruled out for Tuesday's game against the Magic.,ESPN,2026-03-03T18:04Z,0.7,0.7,False
Washington Wizards,Cam Whitmore,Out,Shoulder Arm Not Specified,Whitmore has begun the recovery process for a diagnosed venous condition and he will miss the remainder of the 2025-26 season.,ESPN,2026-01-15T22:15Z,0.7,0.7,False
Indiana Pacers,Ben Sheppard,Out,Hip Torso Strain,"Sheppard (hip) won't play in Sunday's game against Detroit, Tony East of Forbes.com reports.",ESPN,2026-04-12T20:54Z,0.7,0.7,False
Indiana Pacers,Jarace Walker,Out,Foot Leg Sprain,"Walker (foot) won't play in Sunday's game against Detroit, Tony East of Forbes.com reports.",ESPN,2026-04-12T20:47Z,0.7,0.7,False
Indiana Pacers,Andrew Nembhard,Out,Back Torso Soreness,Nembhard (back) has been ruled out for Sunday's game against the Pistons.,ESPN,2026-04-12T00:31Z,0.7,0.7,False
Indiana Pacers,Aaron Nesmith,Out,Neck Head Strain,Nesmith (neck) won't play Sunday against the Pistons.,ESPN,2026-04-12T00:26Z,0.7,0.7,False
Indiana Pacers,Pascal Siakam,Out,Ankle Leg Sprain,Siakam (ankle) has been ruled out for Sunday's meeting with the Pistons.,ESPN,2026-04-12T00:23Z,0.7,0.7,False
Indiana Pacers,T.J. McConnell,Out,Hamstring Leg Not Specified,McConnell (hamstring) has been ruled out for Sunday's game against the Pistons.,ESPN,2026-04-12T00:06Z,0.7,0.7,False
